intersection_id,tollgate_id,time_window,avg_travel_time,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,hours
B,3,2016/07/24 0:00,810.21,1003.2,1008,225,1.2,32.1,70,0,0
B,3,2016/07/24 3:00,764.23,1003.3,1008,181,1.9,36.8,52,0,3
B,3,2016/07/24 6:00,804.2,1001.6,1006.3,285,1.7,38.8,40,0,6
B,3,2016/07/24 9:00,1341.59,1001,1005.8,177,0.9,39.4,38,0,9
B,3,2016/07/24 12:00,1089.91,1001.8,1006.6,96,2.1,35,61,0,12
B,3,2016/07/24 15:00,1338.78,1003,1007.7,190,1.4,33.3,65,0,15
B,3,2016/07/24 18:00,1068.95,1002.2,1006.9,113,0.5,31.1,72,0,18
B,3,2016/07/24 21:00,855.15,1002.8,1007.6,214,1.9,29.9,79,0,21
B,3,2016/07/25 0:00,794.81,1003.8,1008.6,185,1.6,32.1,73,0,0
B,3,2016/07/25 3:00,709.58,1003,1007.8,191,2.5,35.5,58,0,3
B,3,2016/07/25 6:00,1099.34,1001,1005.7,198,2,38.8,43,0,6
B,3,2016/07/25 9:00,1127.65,1000.2,1005,79,4.1,37.6,50,0,9
B,3,2016/07/25 12:00,981.72,1001.2,1006,80,2.8,35.4,53,0,12
B,3,2016/07/25 15:00,956.42,1001.9,1006.7,271,0.6,32.9,69,0,15
B,3,2016/07/25 18:00,1109.17,1000.9,1005.6,201,1.4,31.2,76,0,18
B,3,2016/07/25 21:00,809.53,1001.4,1006.2,235,1.7,29.6,82,0,21
B,3,2016/07/26 0:00,507.65,1002,1006.8,200,2.7,31.9,72,0,0
B,3,2016/07/26 3:00,504.68,1001,1005.7,180,2.7,36.2,56,0,3
B,3,2016/07/26 6:00,865.54,999,1003.7,254,2.2,38.4,43,0,6
B,3,2016/07/26 9:00,1047.36,998.2,1002.9,291,1.5,38.8,42,0,9
B,3,2016/07/26 12:00,977.09,999.6,1004.4,197,1.1,32.3,57,0,12
B,3,2016/07/26 15:00,974.23,1000.6,1005.4,352,0.7,31.5,61,0,15
B,3,2016/07/26 18:00,1068.33,1000,1004.7,201,1.3,30.2,75,0,18
B,3,2016/07/26 21:00,962.12,1000.6,1005.4,184,1.5,29.5,80,0,21
B,3,2016/07/27 0:00,135.79,1001.5,1006.3,233,3.1,31.9,72,0,0
B,3,2016/07/27 3:00,189.74,1000.5,1005.3,209,2.8,36.6,54,0,3
B,3,2016/07/27 6:00,987.19,998.8,1003.5,189,1.7,38.6,42,0,6
B,3,2016/07/27 9:00,1006.46,998.7,1003.4,240,2.8,38.2,42,0,9
B,3,2016/07/27 12:00,1122.41,1001.4,1006.2,135,1.6,31.5,55,0,12
B,3,2016/07/27 15:00,998.81,1000.7,1005.5,221,2,30.8,58,0,15
B,3,2016/07/27 18:00,1262.24,1001.1,1005.8,281,0.9,30.1,69,0,18
B,3,2016/07/27 21:00,975.19,1001.1,1005.9,222,1.4,29.5,75,0,21
B,3,2016/07/28 0:00,900.47,1001.9,1006.7,242,1.7,31.9,70,0,0
B,3,2016/07/28 3:00,482.78,1001.5,1006.3,206,1.4,36.7,55,0,3
B,3,2016/07/28 6:00,1000.35,1000.3,1005,202,3.3,38.6,43,0,6
B,3,2016/07/28 9:00,1340.54,999.7,1004.5,128,2,38,44,0,9
B,3,2016/07/28 12:00,1191.51,1000.4,1005.2,135,1.7,34.7,54,0,12
B,3,2016/07/28 15:00,1412.27,1001.5,1006.2,169,1.8,33.5,58,0,15
B,3,2016/07/28 18:00,1157.02,1001.3,1006,228,2.7,30.7,70,0,18
B,3,2016/07/28 21:00,1079.15,1001.4,1006.2,220,1.8,29.6,72,0,21
B,3,2016/07/29 0:00,1396.44,1002.9,1007.7,216,2.4,31.9,65,0,0
B,3,2016/07/29 3:00,778.22,1002.7,1007.4,300,2.3,36.3,49,0,3
B,3,2016/07/29 6:00,1119.78,1001,1005.7,27,2.4,38.3,43,0,6
B,3,2016/07/29 9:00,1269.76,1000.3,1005.1,82,5.4,38,44,0,9
B,3,2016/07/29 12:00,1184.84,1001.7,1006.5,98,2.3,34.2,57,0,12
B,3,2016/07/29 15:00,1372.24,1002.2,1007,184,1.5,32.8,63,0,15
B,3,2016/07/29 18:00,1047.86,1001.5,1006.2,230,0.9,30.9,71,0,18
B,3,2016/07/29 21:00,1093.36,1002.1,1006.9,222,1.5,29.3,77,0,21
B,3,2016/07/30 0:00,943.17,1003.4,1008.2,213,1,31.9,66,0,0
B,3,2016/07/30 3:00,569.68,1003.3,1008.1,159,1.3,36.3,52,0,3
B,3,2016/07/30 6:00,942.45,1002.1,1006.9,50,4,37,47,0,6
B,3,2016/07/30 9:00,1232.45,1000.6,1005.4,80,2.8,36.1,53,0,9
B,3,2016/07/30 12:00,1373.44,1001.9,1006.7,61,2.9,33.1,68,0,12
B,3,2016/07/30 15:00,1302.18,1003,1007.8,57,1.9,31.8,71,0,15
B,3,2016/07/30 18:00,1105.75,1002.7,1007.5,162,2.4,30.7,68,0,18
B,3,2016/07/30 21:00,1015.03,1002.5,1007.3,125,1.9,29.5,68,0,21
B,3,2016/07/31 0:00,321.79,1003.9,1008.7,161,3.4,31.2,63,0,0
B,3,2016/07/31 3:00,918.18,1003.7,1008.5,105,1,34.8,50,0,3
B,3,2016/07/31 6:00,1135.76,1002,1006.8,39,3.4,35.8,49,0,6
B,3,2016/07/31 9:00,1422.18,1000.8,1005.6,81,4.9,34.4,60,0,9
B,3,2016/07/31 12:00,1254.72,1002.1,1006.9,64,4.4,31.7,65,0,12
B,3,2016/07/31 15:00,1280.8,1003.2,1008,126,1.9,30.4,65,0,15
B,3,2016/07/31 18:00,810.62,1002.2,1007,115,1.9,29.2,70,0,18
B,3,2016/07/31 21:00,684.44,1002.8,1007.6,116,0.9,28.2,72,0,21
B,3,2016/08/01 0:00,502.45,1003.5,1008.3,102,1.8,31.7,61,0,0
B,3,2016/08/01 3:00,493.7,1002.4,1007.2,151,1.7,33.7,56,0,3
B,3,2016/08/01 6:00,912.85,1001.1,1005.9,65,2.5,34.4,56,0,6
B,3,2016/08/01 9:00,1295.08,1000.1,1004.9,80,2.1,34.5,59,0,9
B,3,2016/08/01 12:00,1228.12,1000.9,1005.7,57,2,31,77,0,12
B,3,2016/08/01 15:00,973.55,1001.8,1006.6,125,1.4,30.9,76,0,15
B,3,2016/08/01 18:00,1214.69,1001.2,1006,177,2.5,30.3,69,0,18
B,3,2016/08/01 21:00,767.07,1000.9,1005.7,172,1.4,29.2,73,0,21
B,3,2016/08/02 0:00,151.53,1001.9,1006.7,195,1.7,30.8,65,0,0
B,3,2016/08/02 3:00,183.2,1001.8,1006.6,175,3,34.9,53,0,3
B,3,2016/08/02 6:00,965.6,999.5,1004.3,216,2.8,37.3,44,0,6
B,3,2016/08/02 9:00,1236.11,998,1002.8,51,1.7,34.8,56,0,9
B,3,2016/08/02 12:00,1173.56,1000.1,1004.9,88,2.3,30.9,70,0,12
B,3,2016/08/02 15:00,1114.98,1003.1,1007.9,310,3.1,24.5,94,4.8,15
B,3,2016/08/02 18:00,894.19,1002.5,1007.3,221,1.8,24.7,96,3.6,18
B,3,2016/08/02 21:00,991.23,1001.5,1006.3,215,2.7,24.9,95,0.3,21
B,3,2016/08/03 0:00,531.86,1003.2,1008.1,227,0.7,26.2,89,0,0
B,3,2016/08/03 3:00,159.76,1003.9,1008.8,332,1.8,30.8,70,0,3
B,3,2016/08/03 6:00,808.69,1002.4,1007.2,334,2.7,33,62,0,6
B,3,2016/08/03 9:00,1177,1001.8,1006.6,28,1.7,32.2,63,0,9
B,3,2016/08/03 12:00,1069.83,1003.2,1008.1,203,3.8,29.7,75,0,12
B,3,2016/08/03 15:00,1540.49,1004.2,1009.1,266,1.8,26.7,86,0,15
B,3,2016/08/03 18:00,1128.76,1002.8,1007.6,226,1.8,26,85,0,18
B,3,2016/08/03 21:00,898.53,1003.5,1008.3,999017,0,25.6,89,0,21
B,3,2016/08/04 0:00,147.54,1004.5,1009.3,223,2.5,28.4,79,0,0
B,3,2016/08/04 3:00,508.25,1004.3,1009.1,207,2,31.7,66,0,3
B,3,2016/08/04 6:00,1275.34,1002.3,1007.1,302,2.3,34.8,53,0,6
B,3,2016/08/04 9:00,1280.76,1001.9,1006.8,177,2.3,28.1,84,0.7,9
B,3,2016/08/04 12:00,1064.8,1004.3,1009.2,242,1.1,26.4,94,1.4,12
B,3,2016/08/04 15:00,1111.81,1004.4,1009.3,207,2.4,25.5,95,0,15
B,3,2016/08/04 18:00,1184.39,1004,1008.8,206,1.5,25.2,95,0,18
B,3,2016/08/04 21:00,343.78,1003.6,1008.5,273,0.5,24.9,94,0,21
B,3,2016/08/05 0:00,322.49,1004.5,1009.4,200,0.6,27.1,87,0,0
B,3,2016/08/05 3:00,153.68,1003.6,1008.5,280,1.9,31.5,70,0,3
B,3,2016/08/05 6:00,1096.85,1001.9,1006.7,88,1.6,33.7,57,0,6
B,3,2016/08/05 9:00,1305.28,1000.6,1005.4,999017,0,32.5,64,0,9
B,3,2016/08/05 12:00,1165.18,1002,1006.8,305,2.9,29.5,76,0,12
B,3,2016/08/05 15:00,1263.1,1002.6,1007.4,303,1.9,29,79,0,15
B,3,2016/08/05 18:00,1067.63,1001.5,1006.3,295,2.4,28.6,83,0,18
B,3,2016/08/05 21:00,564.29,1001.1,1005.9,295,1.9,27.3,89,0,21
B,3,2016/08/06 0:00,502.93,1001.4,1006.2,251,0.9,29,82,0,0
B,3,2016/08/06 3:00,536.36,1000.8,1005.6,290,1.7,32.3,65,0,3
B,3,2016/08/06 6:00,900.67,999,1003.8,999017,0,28.1,88,2,6
B,3,2016/08/06 9:00,661.73,998.5,1003.3,96,1.7,30.3,77,0,9
B,3,2016/08/06 12:00,1225.71,999.2,1004,82,1.6,29.7,81,0,12
B,3,2016/08/06 15:00,1117.5,999.7,1004.5,103,1.8,28.6,79,0,15
B,3,2016/08/06 18:00,947.63,998.7,1003.5,111,1.4,27.7,81,0,18
B,3,2016/08/06 21:00,855.8,998.9,1003.7,110,1,26.9,88,0,21
B,3,2016/08/07 0:00,252.18,999.6,1004.4,170,2.9,29.4,73,0,0
B,3,2016/08/07 3:00,345.97,999.2,1004,109,1.5,33.5,57,0,3
B,3,2016/08/07 6:00,880.14,997.7,1002.5,92,3.9,34.9,53,0,6
B,3,2016/08/07 9:00,1015.75,997.1,1001.9,78,6.5,32.7,62,0,9
B,3,2016/08/07 12:00,1108.16,998.9,1003.7,72,3.3,30.5,69,0,12
B,3,2016/08/07 15:00,721.07,1000,1004.8,95,4,29.5,66,0,15
B,3,2016/08/07 18:00,1249.93,999.4,1004.2,85,1.6,27.8,74,0,18
B,3,2016/08/07 21:00,609.99,999.6,1004.4,88,1.9,27,80,0,21
B,3,2016/08/08 0:00,232.01,999.9,1004.7,67,2.4,30.1,67,0,0
B,3,2016/08/08 3:00,215.53,1000.1,1004.9,107,2.1,32.7,60,0,3
B,3,2016/08/08 6:00,1347.71,998.3,1003.1,86,4.1,34.7,50,0,6
B,3,2016/08/08 9:00,1321.85,998,1002.8,63,4.9,32.7,55,0,9
B,3,2016/08/08 12:00,756.13,999.7,1004.5,83,1.9,29.8,75,0,12
B,3,2016/08/08 15:00,460.27,1000.5,1005.3,98,4.1,28.9,75,0,15
B,3,2016/08/08 18:00,995.27,999.7,1004.5,112,1.2,28.1,77,0,18
B,3,2016/08/08 21:00,716.6,999.8,1004.6,290,1.1,25.1,95,0.7,21
B,3,2016/08/09 0:00,515.93,1000.6,1005.5,18,1,25.4,95,14.2,0
B,3,2016/08/09 3:00,304.25,999.9,1004.7,292,1.5,27.4,93,2.4,3
B,3,2016/08/09 6:00,675.49,998.4,1003.2,59,2,31.7,70,0,6
B,3,2016/08/09 9:00,993.34,998.1,1003,59,3.2,28.6,88,2.7,9
B,3,2016/08/09 12:00,1145.37,999.7,1004.6,70,1.3,28.4,89,0,12
B,3,2016/08/09 15:00,1319.34,1000.7,1005.6,93,2.1,28.2,89,0,15
B,3,2016/08/09 18:00,876.86,1000,1004.8,93,1.3,27.9,91,0,18
B,3,2016/08/09 21:00,644.48,1000.4,1005.2,80,1.6,27.6,91,0,21
B,3,2016/08/10 0:00,44.41,1001.5,1006.3,45,1.8,28.7,86,0,0
B,3,2016/08/10 3:00,867.6,1001.2,1006,133,1.9,32.8,66,0,3
B,3,2016/08/10 6:00,620.22,1000,1004.8,58,3.2,33.9,62,0,6
B,3,2016/08/10 9:00,876.47,1000,1004.8,102,4.5,32.3,73,0,9
B,3,2016/08/10 12:00,935.95,1001.4,1006.2,69,1.7,30.2,84,0,12
B,3,2016/08/10 15:00,1269.11,1002.6,1007.4,98,1.8,29.4,82,0,15
B,3,2016/08/10 18:00,1050.32,1002.1,1006.9,84,1.4,28,86,0,18
B,3,2016/08/10 21:00,772.46,1002.4,1007.2,107,0.8,26.8,92,0,21
B,3,2016/08/11 0:00,536.85,1003.7,1008.5,91,2.1,30.6,75,0,0
B,3,2016/08/11 3:00,358.6,1003.6,1008.4,58,3.6,32.4,64,0,3
B,3,2016/08/11 6:00,1071.63,1001.5,1006.3,27,3.6,34.2,58,0,6
B,3,2016/08/11 9:00,1646.07,1001.4,1006.2,81,3.4,32.7,63,0,9
B,3,2016/08/11 12:00,1067.36,1002.2,1007,73,3,30.2,79,0,12
B,3,2016/08/11 15:00,943.44,1002.7,1007.5,73,2.3,29.7,82,0,15
B,3,2016/08/11 18:00,836.53,1001.7,1006.5,100,1,29,85,0,18
B,3,2016/08/11 21:00,470.96,1001.8,1006.6,88,1.5,28.6,88,0,21
B,3,2016/08/12 0:00,292.94,1002.3,1007.1,97,2.2,31.6,73,0,0
B,3,2016/08/12 3:00,145.91,1001.6,1006.4,96,1.8,32.9,64,0,3
B,3,2016/08/12 6:00,858.62,999.9,1004.7,50,2.1,34.2,60,0,6
B,3,2016/08/12 9:00,1076.49,998.8,1003.6,76,5.3,33.2,69,0,9
B,3,2016/08/12 12:00,1050.8,1000,1004.8,63,3,31.1,76,0,12
B,3,2016/08/12 15:00,1271.33,1000.6,1005.4,81,1.5,30.3,74,0,15
B,3,2016/08/12 18:00,1122.14,999.9,1004.7,244,0.7,28.4,83,0,18
B,3,2016/08/12 21:00,487.5,1000.2,1005,84,0.9,27.6,85,0,21
B,3,2016/08/13 0:00,271.19,1001,1005.8,77,2.4,31.9,68,0,0
B,3,2016/08/13 3:00,0,1000.8,1005.6,138,2.1,33.5,60,0,3
B,3,2016/08/13 6:00,1143.12,998.7,1003.5,137,1.4,35.1,58,0,6
B,3,2016/08/13 9:00,399.49,998.1,1002.9,89,3,33.3,70,0,9
B,3,2016/08/13 12:00,1203.84,999.1,1003.9,78,2.7,31.6,75,0,12
B,3,2016/08/13 15:00,899.18,1000,1004.8,180,1.9,30.2,79,0,15
B,3,2016/08/13 18:00,982,999.1,1003.9,124,1.1,29.2,81,0,18
B,3,2016/08/13 21:00,840.54,999.5,1004.3,194,1.2,27.9,85,0,21
B,3,2016/08/14 0:00,154.64,1000.4,1005.2,120,1.2,31.6,68,0,0
B,3,2016/08/14 3:00,325.42,999.6,1004.4,40,1.4,33.7,57,0,3
B,3,2016/08/14 6:00,1122.3,998.1,1002.9,52,3.4,35.2,51,0,6
B,3,2016/08/14 9:00,570.21,997.3,1002.1,107,1.5,35.3,54,0,9
B,3,2016/08/14 12:00,1124.12,999.1,1003.9,66,2.3,31.2,74,0,12
B,3,2016/08/14 15:00,336,999.5,1004.3,50,1.7,30.7,75,0,15
B,3,2016/08/14 18:00,856.15,997.9,1002.7,316,1,28.8,82,0,18
B,3,2016/08/14 21:00,510.56,997.6,1002.4,222,1.3,27.6,85,0,21
B,3,2016/08/15 0:00,413.19,998.8,1003.6,169,2,30.6,74,0,0
B,3,2016/08/15 3:00,407.16,998.3,1003.1,176,1.5,34,63,0,3
B,3,2016/08/15 6:00,1072.74,996.4,1001.2,94,1.5,36,52,0,6
B,3,2016/08/15 9:00,1242.28,996,1000.8,74,2.6,35.4,56,0,9
B,3,2016/08/15 12:00,914.59,997.6,1002.4,95,2.4,31.7,73,0,12
B,3,2016/08/15 15:00,763.36,997.9,1002.7,60,1.7,30.8,77,0,15
B,3,2016/08/15 18:00,821.47,997,1001.8,296,1.9,29.1,84,0,18
B,3,2016/08/15 21:00,561.53,997,1001.8,285,1.8,28.3,90,0,21
B,3,2016/08/16 0:00,0,998.2,1003,356,2,31.5,74,0,0
B,3,2016/08/16 3:00,268.88,998.2,1003,5,2.4,33.2,64,0,3
B,3,2016/08/16 6:00,1302.39,996.7,1001.5,71,3,35.8,47,0,6
B,3,2016/08/16 9:00,1213.46,996,1000.8,73,3.8,35.3,53,0,9
B,3,2016/08/16 12:00,881.98,997.1,1001.9,89,2.9,32.1,64,0,12
B,3,2016/08/16 15:00,934.93,997.8,1002.6,88,2.2,30.2,79,0,15
B,3,2016/08/16 18:00,575.69,997.3,1002.1,57,2.1,29.5,83,0,18
B,3,2016/08/16 21:00,460.31,997.5,1002.3,10,1.1,29.1,85,0,21
B,3,2016/08/17 0:00,339.62,998.2,1003,307,1.3,29.5,84,0,0
B,3,2016/08/17 3:00,189.11,997.7,1002.5,321,1.8,33.3,67,0,3
B,3,2016/08/17 6:00,1012.68,996,1000.8,100,2.9,36,51,0,6
B,3,2016/08/17 9:00,1224.04,995.5,1000.3,98,3.7,34.6,55,0,9
B,3,2016/08/17 12:00,903.29,996.4,1001.2,93,2.5,31.7,67,0,12
B,3,2016/08/17 15:00,732.83,997.1,1001.9,70,1.5,30.7,73,0,15
B,3,2016/08/17 18:00,1081.84,996.7,1001.5,40,1.7,29.6,78,0,18
B,3,2016/08/17 21:00,124.97,996.9,1001.7,323,1.6,27.9,86,0,21
B,3,2016/08/18 0:00,0,997.7,1002.5,184,2.3,30.6,75,0,0
B,3,2016/08/18 3:00,205.03,997.4,1002.2,130,2.3,34.5,56,0,3
B,3,2016/08/18 6:00,813.48,995.8,1000.5,212,3.1,36.7,46,0,6
B,3,2016/08/18 9:00,1252.75,995.1,999.9,113,4.3,36.5,52,0,9
B,3,2016/08/18 12:00,833.74,996.8,1001.6,85,2.9,32.5,70,0,12
B,3,2016/08/18 15:00,886.39,997.4,1002.2,74,1.8,31.6,75,0,15
B,3,2016/08/18 18:00,790.07,997.3,1002,210,0.4,29.9,83,0,18
B,3,2016/08/18 21:00,401.09,997.2,1002,241,1.6,28.9,88,0,21
B,3,2016/08/19 0:00,73.26,998.5,1003.3,186,2,31,80,0,0
B,3,2016/08/19 3:00,725.16,998.3,1003,255,1.1,35.4,58,0,3
B,3,2016/08/19 6:00,993.16,997,1001.7,156,2.1,37.9,43,0,6
B,3,2016/08/19 9:00,1333.4,996.8,1001.6,337,4.1,34.1,58,0,9
B,3,2016/08/19 12:00,860.04,998.1,1002.9,319,1.3,32,68,0,12
B,3,2016/08/19 15:00,959.8,999.3,1004.1,335,0.9,30.4,77,0,15
B,3,2016/08/19 18:00,827.92,998.9,1003.6,316,0.9,29.7,76,0,18
B,3,2016/08/19 21:00,496.08,998.8,1003.6,334,1.1,28.6,82,0,21
B,3,2016/08/20 0:00,843.27,999.5,1004.3,194,1.9,31.2,72,0,0
B,3,2016/08/20 3:00,150.77,999.3,1004.1,291,2.1,35.6,59,0,3
B,3,2016/08/20 6:00,861.78,996.9,1001.6,356,2.6,39,43,0,6
B,3,2016/08/20 9:00,1116.98,997.3,1002.1,338,2.3,31.5,71,0,9
B,3,2016/08/20 12:00,714.75,998.6,1003.4,353,3.7,31.7,67,0,12
B,3,2016/08/20 15:00,919.07,999.4,1004.2,312,3.4,29.5,76,0,15
B,3,2016/08/20 18:00,769.09,998.3,1003,269,0.7,29,78,0,18
B,3,2016/08/20 21:00,431.06,998.8,1003.6,321,1.5,28.1,82,0,21
B,3,2016/08/21 0:00,492.02,999.8,1004.6,335,2.2,30.3,75,0,0
B,3,2016/08/21 3:00,241.79,999.8,1004.6,318,1.9,32.8,67,0,3
B,3,2016/08/21 6:00,640.76,998.4,1003.2,320,2,34.5,61,0,6
B,3,2016/08/21 9:00,647.59,998.9,1003.7,348,4.9,27,93,27.2,9
B,3,2016/08/21 12:00,861.15,1000,1004.8,30,1,27.6,92,0,12
B,3,2016/08/21 15:00,797.33,1000.9,1005.7,321,2.1,27.3,93,0,15
B,3,2016/08/21 18:00,767.41,1001.1,1005.9,340,1.5,27.3,93,0,18
B,3,2016/08/21 21:00,134.78,1001.7,1006.6,327,1.5,27.2,94,0,21
B,3,2016/08/22 0:00,437.86,1002.7,1007.5,46,2.9,29.9,80,0,0
B,3,2016/08/22 3:00,59.89,1002.2,1007,83,2.6,33.8,58,0,3
B,3,2016/08/22 6:00,1177.65,1000.9,1005.7,97,4.8,34.2,60,0,6
B,3,2016/08/22 9:00,1106.79,1000.7,1005.5,81,2,34,58,0,9
B,3,2016/08/22 12:00,781.76,1001.9,1006.7,101,2.6,31.2,67,0,12
B,3,2016/08/22 15:00,804.48,1002.5,1007.3,90,0.8,29.8,70,0,15
B,3,2016/08/22 18:00,467.99,1001.9,1006.7,239,0.5,28.1,84,0,18
B,3,2016/08/22 21:00,54.39,1001.9,1006.7,35,0.7,28,87,0,21
B,3,2016/08/23 0:00,137.03,1003,1007.8,7,1,30.1,80,0,0
B,3,2016/08/23 3:00,74.12,1002.7,1007.5,264,2.5,30.9,73,0,3
B,3,2016/08/23 6:00,869.6,1000.7,1005.5,289,1.7,32.9,66,0,6
B,3,2016/08/23 9:00,760.24,999.3,1004.1,94,1.2,33.9,54,0,9
B,3,2016/08/23 12:00,905.01,1000.4,1005.2,93,3.4,31.8,66,0,12
B,3,2016/08/23 15:00,980.69,1000.9,1005.7,94,3.2,29.7,71,0,15
B,3,2016/08/23 18:00,784.14,1000.2,1005,99,1.9,28.6,79,0,18
B,3,2016/08/23 21:00,207.6,1000.6,1005.4,97,1.4,28.2,77,0,21
B,3,2016/08/24 0:00,119.15,1001.4,1006.2,93,1.6,29.6,73,0,0
B,3,2016/08/24 3:00,431.27,1000.8,1005.6,105,1.9,32.9,60,0,3
B,3,2016/08/24 6:00,749.03,998.8,1003.6,160,2.3,34.6,51,0,6
B,3,2016/08/24 9:00,755.75,998.3,1003.1,114,2.7,34.2,48,0,9
B,3,2016/08/24 12:00,758.09,999.6,1004.4,88,3,31.3,56,0,12
B,3,2016/08/24 15:00,1405.8,1000.4,1005.2,109,3,28.6,70,0,15
B,3,2016/08/24 18:00,541.97,999.7,1004.5,48,1.5,27,76,0,18
B,3,2016/08/24 21:00,437.43,999.7,1004.5,342,1.1,26.2,82,0,21
B,3,2016/08/25 0:00,0,1000.4,1005.2,86,1.1,29.8,66,0,0
B,3,2016/08/25 3:00,339.54,999.7,1004.5,106,1.6,33.2,51,0,3
B,3,2016/08/25 6:00,579.44,998.1,1002.9,62,4.5,35.2,45,0,6
B,3,2016/08/25 9:00,786.27,997.4,1002.2,100,2.7,34.5,42,0,9
B,3,2016/08/25 12:00,788.18,999.2,1004,107,2.1,31.9,51,0,12
B,3,2016/08/25 15:00,694.97,1000.4,1005.2,61,1.3,29.9,75,0,15
B,3,2016/08/25 18:00,473.05,1000.2,1005,69,1.9,29.5,82,0,18
B,3,2016/08/25 21:00,80.75,1000.7,1005.5,44,2.2,28.7,84,0,21
B,3,2016/08/26 0:00,156.75,1002.4,1007.2,59,2.6,30.4,74,0,0
B,3,2016/08/26 3:00,260.37,1002.8,1007.6,317,0.9,27.8,91,14.6,3
B,3,2016/08/26 6:00,865.85,1001.2,1006,9,4.3,34.4,51,0,6
B,3,2016/08/26 9:00,669.35,1001.9,1006.7,359,7.3,30.9,65,0,9
B,3,2016/08/26 12:00,723.96,1004.2,1009,10,6.4,28.2,75,0,12
B,3,2016/08/26 15:00,857.42,1005.4,1010.3,336,3.3,26.3,84,0,15
B,3,2016/08/26 18:00,335.16,1005.2,1010,357,3,25.8,77,0,18
B,3,2016/08/26 21:00,278.42,1005.6,1010.5,338,2.9,24.7,75,0,21
B,3,2016/08/27 0:00,0,1006.6,1011.5,0,4.9,24.9,72,0,0
B,3,2016/08/27 3:00,0,1005.7,1010.6,348,3.8,27.9,56,0,3
