,intersection_id,tollgate_id,pressure,sea_pressure,wind_direction,wind_speed,temperature,rel_humidity,precipitation,hour,week,minute,travel_time
199,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,17,2,40,65.675
200,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,18,2,0,85.1133333333
201,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,18,2,20,50.5666666667
202,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,18,2,40,65.0738461538
203,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,19,2,0,67.32625
204,1,2,999.6,1004.4,198.0,2.1,27.7,88.0,0.0,19,2,20,79.854
242,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,19,2,40,89.6444444444
243,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,20,2,0,87.942
244,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,20,2,20,44.09
245,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,20,2,40,64.16375
246,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,21,2,0,68.4775
247,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,21,2,20,59.0945454545
248,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,21,2,40,51.182
249,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,22,2,0,46.0933333333
250,1,2,999.0,1003.8,208.0,2.0,26.5,93.0,0.0,22,2,20,91.85
275,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,22,2,40,47.02
276,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,23,2,0,54.5933333333
277,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,23,2,20,84.3675
278,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,23,2,40,67.96
279,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,0,3,20,37.89
280,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,0,3,40,83.66
281,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,1,3,0,57.64
282,1,2,1000.2,1005.0,200.0,2.9,30.3,72.0,0.0,1,3,20,58.62
293,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,1,3,40,40.755
294,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,2,3,0,49.12
295,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,2,3,20,18.68
296,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,2,3,40,33.89
297,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,3,3,0,60.67
298,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,3,3,20,18.59
299,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,3,3,40,100.71
300,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,4,3,0,105.6525
301,1,2,999.7,1004.5,207.0,5.4,34.8,48.0,0.0,4,3,20,64.32
317,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,4,3,40,49.4
318,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,5,3,0,49.7633333333
319,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,5,3,20,57.67
320,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,5,3,40,46.1985714286
321,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,6,3,0,44.095
322,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,6,3,20,59.8744444444
323,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,6,3,40,88.815
324,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,7,3,0,77.8477777778
325,1,2,998.7,1003.5,199.0,4.7,37.1,41.0,0.0,7,3,20,94.9191666667
348,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,7,3,40,73.6772727273
349,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,8,3,0,61.007
350,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,8,3,20,332.162
351,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,8,3,40,50.995
352,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,9,3,0,44.935
353,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,9,3,40,23.295
354,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,10,3,0,341.7875
355,1,2,998.7,1003.5,217.0,3.4,37.0,40.0,0.0,10,3,20,70.1445454545
393,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,10,3,40,90.17125
394,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,11,3,0,49.45
395,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,11,3,20,46.637
396,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,11,3,40,60.4775
397,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,12,3,0,53.9857142857
398,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,12,3,20,49.5525
399,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,12,3,40,55.2753846154
400,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,13,3,0,81.4869230769
401,1,2,1000.2,1005.0,224.0,2.5,33.0,53.0,0.0,13,3,20,50.8163636364
437,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,13,3,40,73.496
438,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,14,3,0,66.6442857143
439,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,14,3,20,57.3307142857
440,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,14,3,40,53.56625
441,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,15,3,0,62.18
442,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,15,3,20,64.3322222222
443,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,15,3,40,70.3330769231
444,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,16,3,0,67.11
445,1,2,1001.3,1006.1,208.0,2.1,30.6,63.0,0.0,16,3,20,82.793125
483,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,16,3,40,52.8714285714
484,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,17,3,0,50.165
485,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,17,3,20,81.348
486,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,17,3,40,75.4755555556
487,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,18,3,0,67.8875
488,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,18,3,20,85.105
489,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,18,3,40,78.3326315789
490,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,19,3,0,93.4892307692
491,1,2,1000.9,1005.7,210.0,2.5,29.0,69.0,0.0,19,3,20,56.44
526,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,19,3,40,52.1
527,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,20,3,0,57.6071428571
528,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,20,3,20,52.5816666667
529,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,20,3,40,123.648571429
530,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,21,3,0,80.38
531,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,21,3,20,50.8366666667
532,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,21,3,40,68.6783333333
533,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,22,3,0,55.445
534,1,2,1001.7,1006.5,222.0,2.3,27.3,79.0,0.0,22,3,20,44.938
564,1,2,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,22,3,40,66.2425
565,1,2,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,23,3,0,49.7525
566,1,2,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,23,3,20,55.154
567,1,2,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,23,3,40,56.67
568,1,2,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,0,4,0,39.21
569,1,2,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,1,4,0,56.2675
570,1,2,1003.0,1007.8,197.0,1.8,31.1,63.0,0.0,1,4,20,41.47
583,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,1,4,40,80.25
584,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,2,4,0,45.1866666667
585,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,2,4,20,28.59
586,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,2,4,40,54.085
587,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,3,4,0,47.21
588,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,3,4,20,50.25
589,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,3,4,40,83.4766666667
590,1,2,1002.4,1007.2,210.0,4.6,35.6,47.0,0.0,4,4,20,49.8866666667
597,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,4,4,40,61.712
598,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,5,4,0,48.065
599,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,5,4,20,39.5
600,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,5,4,40,56.6925
601,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,6,4,0,63.1766666667
602,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,6,4,20,87.03
603,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,6,4,40,65.3366666667
604,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,7,4,0,78.012
605,1,2,1001.5,1006.3,205.0,4.7,37.2,44.0,0.0,7,4,20,109.729333333
621,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,7,4,40,114.72
622,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,8,4,0,116.073636364
623,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,8,4,20,125.105
624,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,8,4,40,88.4168421053
625,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,9,4,0,71.4722222222
626,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,9,4,20,116.583333333
627,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,9,4,40,88.6557142857
628,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,10,4,0,68.4990909091
629,1,2,1000.2,1005.0,195.0,3.2,37.6,42.0,0.0,10,4,20,64.062
650,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,10,4,40,83.4688888889
651,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,11,4,0,64.0866666667
652,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,11,4,20,84.855
653,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,11,4,40,58.8383333333
654,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,12,4,0,61.17
655,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,12,4,20,69.7946153846
656,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,12,4,40,76.7707142857
657,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,13,4,0,79.4618181818
658,1,2,1001.0,1005.8,258.0,1.6,33.5,53.0,0.0,13,4,20,58.1335714286
700,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,13,4,40,68.565
701,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,14,4,0,60.0628571429
702,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,14,4,20,60.1885714286
703,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,14,4,40,66.7471428571
704,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,15,4,0,51.3175
705,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,15,4,20,60.3183333333
706,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,15,4,40,60.8970588235
707,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,16,4,0,62.177
708,1,2,1001.9,1006.7,208.0,3.2,31.4,66.0,0.0,16,4,20,89.1158333333
747,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,16,4,40,74.3764705882
748,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,17,4,0,58.4625
749,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,17,4,20,103.073846154
750,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,17,4,40,90.9633333333
751,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,18,4,0,63.41
752,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,18,4,20,59.0808333333
753,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,18,4,40,86.5271428571
754,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,19,4,0,48.834
755,1,2,1001.7,1006.5,207.0,2.4,29.9,70.0,0.0,19,4,20,65.3466666667
786,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,19,4,40,73.564
787,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,20,4,0,59.4976923077
788,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,20,4,20,60.804
789,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,20,4,40,53.9466666667
790,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,21,4,0,62.5766666667
791,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,21,4,20,51.8725
792,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,21,4,40,53.807
793,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,22,4,0,53.026
794,1,2,1002.1,1006.9,199.0,2.5,29.0,75.0,0.0,22,4,20,59.7766666667
821,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,22,4,40,49.0016666667
822,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,23,4,0,39.1475
823,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,23,4,20,64.955
824,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,23,4,40,122.835
825,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,0,5,0,51.286
826,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,0,5,20,43.056
827,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,0,5,40,62.392
828,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,1,5,0,52.1
829,1,2,1003.2,1008.0,194.0,1.9,31.6,68.0,0.0,1,5,20,45.71
846,1,2,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,1,5,40,52.62
847,1,2,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,2,5,20,40.0
848,1,2,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,3,5,0,83.07
849,1,2,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,3,5,20,65.69
850,1,2,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,3,5,40,37.855
851,1,2,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,4,5,0,67.94
852,1,2,1002.7,1007.5,212.0,3.0,35.5,51.0,0.0,4,5,20,52.25
858,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,4,5,40,55.2642857143
859,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,5,5,0,45.625
860,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,5,5,20,60.4975
861,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,5,5,40,60.626
862,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,6,5,0,65.3633333333
863,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,6,5,20,57.03875
864,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,6,5,40,63.9714285714
865,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,7,5,0,132.218888889
866,1,2,1001.0,1005.8,220.0,3.6,37.6,45.0,0.0,7,5,20,100.391764706
895,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,7,5,40,65.3488888889
896,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,8,5,0,75.5325
897,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,8,5,20,77.43
898,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,8,5,40,70.9375
899,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,9,5,0,69.4211111111
900,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,9,5,20,78.8088888889
901,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,9,5,40,61.7326666667
902,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,10,5,0,81.7545454545
903,1,2,1000.0,1004.8,226.0,1.9,37.2,45.0,0.0,10,5,20,108.179375
938,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,10,5,40,110.34
939,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,11,5,0,53.5666666667
940,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,11,5,20,50.3555555556
941,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,11,5,40,50.4108333333
942,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,12,5,0,101.759166667
943,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,12,5,20,55.9533333333
944,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,12,5,40,60.7628571429
945,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,13,5,0,54.922
946,1,2,1000.7,1005.5,238.0,1.7,33.4,54.0,0.0,13,5,20,66.9423529412
985,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,13,5,40,71.5925
986,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,14,5,0,63.835
987,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,14,5,20,90.9644444444
988,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,14,5,40,104.9365
989,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,15,5,0,60.3241666667
990,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,15,5,20,102.249230769
991,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,15,5,40,58.8041666667
992,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,16,5,0,57.3871428571
993,1,2,1001.7,1006.5,190.0,1.6,31.3,67.0,0.0,16,5,20,86.5322222222
1033,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,16,5,40,70.0388
1034,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,17,5,0,75.9893333333
1035,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,17,5,20,94.2235
1036,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,17,5,40,121.9065
1037,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,18,5,0,69.64
1038,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,18,5,20,98.9315384615
1039,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,18,5,40,64.4181818182
1040,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,19,5,0,77.20875
1041,1,2,1000.9,1005.7,205.0,2.1,29.8,74.0,0.0,19,5,20,85.4108333333
1077,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,19,5,40,69.5155555556
1078,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,20,5,0,86.205
1079,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,20,5,20,111.443
1080,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,20,5,40,55.61875
1081,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,21,5,0,81.33
1082,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,21,5,20,93.7345454545
1083,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,21,5,40,36.08
1084,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,22,5,0,45.07
1085,1,2,1001.2,1006.0,207.0,1.3,27.7,83.0,0.0,22,5,20,53.56
1115,1,2,1002.7,1007.5,221.0,2.4,31.3,69.0,0.0,22,5,40,43.6225
1116,1,2,1002.7,1007.5,221.0,2.4,31.3,69.0,0.0,23,5,0,69.6366666667
1117,1,2,1002.7,1007.5,221.0,2.4,31.3,69.0,0.0,23,5,20,117.58
1132,1,2,1000.5,1005.3,206.0,1.8,38.3,42.0,0.0,6,6,0,329.725833333
1133,1,2,1000.5,1005.3,206.0,1.8,38.3,42.0,0.0,6,6,20,80.13
1134,1,2,1000.5,1005.3,206.0,1.8,38.3,42.0,0.0,6,6,40,82.5573333333
1135,1,2,1000.5,1005.3,206.0,1.8,38.3,42.0,0.0,7,6,0,87.6266666667
1136,1,2,1000.5,1005.3,206.0,1.8,38.3,42.0,0.0,7,6,20,86.3266666667
1163,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,7,6,40,96.3118181818
1164,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,8,6,0,60.64875
1165,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,8,6,20,89.3808333333
1166,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,8,6,40,115.883636364
1167,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,9,6,0,109.43
1168,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,9,6,20,187.890555556
1169,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,9,6,40,151.746538462
1170,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,10,6,0,130.745882353
1171,1,2,999.7,1004.5,236.0,1.6,38.0,45.0,0.0,10,6,20,90.0377777778
1209,1,2,1000.9,1005.7,106.0,1.5,35.6,50.0,0.0,11,6,0,24.96
1210,1,2,1000.9,1005.7,106.0,1.5,35.6,50.0,0.0,11,6,20,126.947058824
1211,1,2,1000.9,1005.7,106.0,1.5,35.6,50.0,0.0,11,6,40,88.5389473684
